Genus(zh),Genus(la),Family,Feeding,CP,Genus.Average.Mass,Family.Average.Mass
,Cnizostrongylus,Cooperiidae,Animal parasites,,,
,Cobboldina,Atractidae,Animal parasites,,,
,Codiostomum,Strongylidae,Animal parasites,,,
,Collarinema,Cystidicolidae,Animal parasites,,,
,Colobostrongylus,Chabertiidae,Animal parasites,,,
,Columbostrongylus,Ornithostrongylidae,Animal parasites,,,
,Congerinema,Philometridae,Animal parasites,,259477.634,91031.098
,Contortylenchus,Allantonematidae,Animal parasites,,,
,Contracaecum,Anisakidae,Animal parasites,,43036.214,51504.243
,Cooperia,Cooperiidae,Animal parasites,,652.23,438.176
,Cooperioides,Cooperiidae,Animal parasites,,,
,Copemania,Nicollinidae,Animal parasites,,12.87,23.271
,Coprotylenchus,Parasitylenchidae,Animal parasites,,,
,Cordicauda,Heligmonellidae,Animal parasites,,,
,Cordonicola,Thelastomatidae,Animal parasites,,,
,Corethrellonema,Tetradonematidae,Animal parasites,,,
,Corollonema,Chabertiidae,Animal parasites,,,
,Corollostrongylus,Chabertiidae,Animal parasites,,,
,Coronastoma,Thelastomatidae,Animal parasites,,,
,Coronocephalus,Hystrignathidae,Animal parasites,,,
,Coronocyclus,Strongylidae,Animal parasites,,,
,Coronostrongylus,Chabertiidae,Animal parasites,,,
,Corpicracens,Thelastomatidae,Animal parasites,,35.724,235.402
,Corydella,Thelastomatidae,Animal parasites,,,
,Cosmocephalus,Acuariidae,Animal parasites,,671.629,576.886
,Cosmocerca,Cosmocercidae,Animal parasites,,,
,Cosmocercella,Cosmocercidae,Animal parasites,,,
,Cosmocercoides,Cosmocercidae,Animal parasites,,688.511,871.917
,Cosmostrongylus,Angiostrongylidae,Animal parasites,,45.199,994.307
,Cosmoxynemoides,Oxyuridae,Animal parasites,,,
,Coynema,Hystrignathidae,Animal parasites,,11.078,67.62
,Cranifera,Thelastomatidae,Animal parasites,,,
,Crassicauda,Tetrameridae,Animal parasites,,,
,Craterostomum,Strongylidae,Animal parasites,,,
,Creagrocercus,Creagrocercidae,Animal parasites,,,
,Crenosoma,Crenosomatidae,Animal parasites,,679.122,679.122
,Crocodylocapillaria,Capillariidae ,Animal parasites,,,
,Crossocephalus,Atractidae,Animal parasites,,,
,Cruzia,Kathlaniidae,Animal parasites,,,
,Cruzostrongylus,Trichostrongylidae,Animal parasites,,,
,Cucullanus,Cucullanidae,Animal parasites,,2245.799,2404.157
,Curvicaudatum,Spiruridae,Animal parasites,,,
,Cyathostoma,Syngamidae,Animal parasites,,,
,Cyathostomum,Strongylidae,Animal parasites,,,
,Cyclobulura,Subuluridae,Animal parasites,,,
,Cyclodontostomum,Chabertiidae,Animal parasites,,,
,Cyclostrongylus,Chabertiidae,Animal parasites,,,
,Cylicocyclus,Strongylidae,Animal parasites,,,
,Cylicodontophorus,Strongylidae,Animal parasites,,,
,Cylicostephanus,Strongylidae,Animal parasites,,,
,Cylindropharynx,Strongylidae,Animal parasites,,,
,Cyrnea,Habronematidae,Animal parasites,,,
,Cyrtosomum,Atractidae,Animal parasites,,,
,Cystidicola,Cystidicolidae,Animal parasites,,,
,Cystocaulus,Protostrongylidae,Animal parasites,,,
,Cystoopsis,Cystoopsidae,Animal parasites,,,
,Dacnitoides,Cucullanidae,Animal parasites,,,
,Daniconema,Daniconematidae,Animal parasites,,,
,Daubneyia,Chabertiidae,Animal parasites,,,
,Davinema,Thelastomatidae,Animal parasites,,,
,Decrusta,Strongylidae,Animal parasites,,,
,Deletrocephalus,Deletrocephalidae,Animal parasites,,991.73,991.73
,Delicata,Molineidae,Animal parasites,,,
,Denticamallanus,Camallanidae,Animal parasites,,,
,Dentinema,Cosmocercidae,Animal parasites,,,
,Dentiphilometra,Philometridae,Animal parasites,,,
,Dentirumai,Philometridae,Animal parasites,,,
,Dentostomella,Heteroxynematidae,Animal parasites,,,
,Derettechina,Seuratidae,Animal parasites,,,
,Desmicola,Thelastomatidae,Animal parasites,,,
,Desmidocerca,Desmidocercidae,Animal parasites,,,
,Desmidocercella,Desmidocercidae,Animal parasites,,,
,Desmognathiema,Quimperiidae,Animal parasites,,,
,Dessetia,Heligmosomidae,Animal parasites,,,
,Dessetostrongylus,Herpetostrongylidae,Animal parasites,,,
,Diaphanocephalus,Diaphanocephalidae,Animal parasites,,544.762,544.762
,Dicelis,Drilonematidae,Animal parasites,,42.281,15.394
,Diceloides,Drilonematidae,Animal parasites,,,
,Diceronema,Atractidae,Animal parasites,,,
,Dichelyne,Cucullanidae,Animal parasites,,,
,Dictyocaulus,Dictyocaulidae,Animal parasites,,9121.451,9121.451
,Didelphostrongylus,Angiostrongylidae,Animal parasites,,,
,Didilia,Tetradonematidae,Animal parasites,,,
,Dioctophyme,Dioctophymatidae,Animal parasites,,,
,Dioctowittus,Cystoopsidae,Animal parasites,,3748.222,3748.222
,Diomedenema,Desmidocercidae,Animal parasites,,578.871,578.871
,Dipetalonema,Onchocercidae,Animal parasites,,,
,Diplotriaena,Diplotriaenidae,Animal parasites,,24900.03,24900.03
,Diplotriaenoides,Diplotriaenidae,Animal parasites,,,
,Dirofilaria,Onchocercidae,Animal parasites,,230013.516,24238.879
,Dolfusstrongylus,Molineidae,Animal parasites,,,
,Dorcopsinema,Chabertiidae,Animal parasites,,10633.103,3726.289
,Dorcopsistrongylus,Chabertiidae,Animal parasites,,,
,Dracunculus,Dracunculidae,Animal parasites,,,
,Draschia,Habronematidae,Animal parasites,,1590.791,3692.59
,Drasica,Ungellidae,Animal parasites,,,
,Dromaeostrongylus,Molineidae,Animal parasites,,,
,Dujardinascaris,Heterocheilidae,Animal parasites,,,
,Dukerostrongylus,Protosrongylidae,Animal parasites,,,
,Durettestrongylus,Heligmonellidae,Animal parasites,,,
,Durikainema,Robertdollfusidae,Animal parasites,,4.972,4.972
,Echidnonema,Subuluridae,Animal parasites,,10443.002,10443.002
,Echinocephalus,Gnathostomatidae,Animal parasites,,11579.261,10755.868
,Echinocoleus,Capillariidae,Animal parasites,,,
,Elacolenchus ,Allantonematidae,Animal parasites,,,
,Elaeophora,Onchocercidae,Animal parasites,,,
,Elaphostrongylus,Protosrongylidae,Animal parasites,,,
,Encephalonema,Robertdollfusidae,Animal parasites,,,
,Enterobius,Oxyuridae,Animal parasites,,1337.307,863.815
,Entomelas,Rhabdiasidae,Animal parasites,,,
,Epomidiostomum,Trichostrongylidae,Animal parasites,,,
,Equinurbia,Strongylidae,Animal parasites,,,
,Esocinema,Skrjabillanidae,Animal parasites,,,
,Eucoleus,Capillariidae,Animal parasites,,,
,Eucyathostomum,Strongylidae,Animal parasites,,,
,Eudromoxyura,Heteroxynematidae,Animal parasites,,,
,Eugenuris,Oxyuridae,Animal parasites,,,
,Euryconema,Thelastomatidae,Animal parasites,,,
,Eustrongylides,Dioctophymatidae,Animal parasites,,,
,Euterranova,Anisakidae,Animal parasites,,30331.934,51504.243
,Euzetoda,Heligmonellidae,Animal parasites,,,
,Ezonema,Quimperiidae,Animal parasites,,,
,Falcaustra,Kathlaniidae,Animal parasites,,1787.995,2239.415
,Fellicola,Rhabdochonidae,Animal parasites,,,
,Filaria,Filariidae,Animal parasites,,,
,Filarinema,Trichostrongylidae,Animal parasites,,,
,Filariopsis,Filaroididae,Animal parasites,,,
,Filaroides,Filaroididae,Animal parasites,,56.778,431.316
,Filicapitis,Molineidae,Animal parasites,,,
,Filiponema,Drilonematidae,Animal parasites,,4.088,15.394
,Filostrongylus,Angiostrongylidae,Animal parasites,,,
,Fissicauda,Heligmonellidae,Animal parasites,,,
,Fitsimmonsnema,Atractidae,Animal parasites,,,
,Flannerystrongylus,Heligmonellidae,Animal parasites,,70.036,360.479
,Foleyella,Onchocercidae,Animal parasites,,18193.79,24238.879
,Foliostoma,Chabertiidae,Animal parasites,,,
,Fontesia,Molineidae,Animal parasites,,,
,Fontonema,Thelastomatidae,Animal parasites,,,
,Formicitylenchus,Allantonematidae,Animal parasites,,,
,Freitastrongylus,Heligmonellidae,Animal parasites,,131.587,360.479
,Fuellebornema,Heligmonellidae,Animal parasites,,,
,Galebia,Thelastomatidae,Animal parasites,,,
,Galinonema,Thelastomatidae,Animal parasites,,,
,Gallegostrongylus,Angiostrongylidae,Animal parasites,,,
,Garkavillanus,Skrjabillanidae,Animal parasites,,,
,Gastromermis ,Mermithidae,Animal parasites,,,
,Gatesnema,Drilonematidae,Animal parasites,,,
,Gazellostrongylus,Cooperiidae,Animal parasites,,,
,Gedoelstascaris,Heterocheilidae,Animal parasites,,,
,Gendria,Quimperiidae,Animal parasites,,,
,Geopetitia,Tetrameridae,Animal parasites,,,
,Geoscaphinema,Thelastomatidae,Animal parasites,,,
,Gibsonema,Quimperiidae,Animal parasites,,,
,Glabor,Hystrignathidae,Animal parasites,,,
,Gliroovynylus,Angiostrongylidae,Animal parasites,,,
,Globocephaloides,Herpetostrongylidae,Animal parasites,,,
,Globocephalonema,Drilonematidae,Animal parasites,,,
,Globocephalus,Ancylostomatidae,Animal parasites,,,
,Glomerina,Rhigonematidae,Animal parasites,,,
,Gnathostoma,Gnathostomatidae,Animal parasites,,15922.406,10755.868
,Goezia,Raphidascarididae,Animal parasites,,4960.867,11457.278
,Golonchus,Ancylostomatidae,Animal parasites,,,
,Golotovatoninema,Thelastomatidae,Animal parasites,,,
