Genus(zh),Genus(la),Family,Feeding,CP,Genus.Average.Mass,Family.Average.Mass
,Tricholeiperia,Molineidae,Animal parasites,,,
,Tricholinstowia,Heligmonellidae,Animal parasites,,,
,Trichoskrjabibia,Molineidae,Animal parasites,,,
,Trichosomoides,Trichosomoididae,Animal parasites,,,
,Trichospirura,Thelaziidae,Animal parasites,,,
,Trichostrongyella,Trichostrongylidae,Animal parasites,,,
,Trichostrongylus,Trichostrongylidae,Animal parasites,,19.601,88.593
,Trichotravassosia,Heligmonellidae,Animal parasites,,,
,Trichuris,Trichuridae,Animal parasites,,343558.981,240513.096
,Tridentoinfundibulum,Strongylidae,Animal parasites,,,
,Trifurcata,Molineidae,Animal parasites,,,
,Trigonostonema,Chabertiidae,Animal parasites,,,
,Trilobostrongylus,Angiostrongylidae,Animal parasites,,,
,Triodontophorus,Strongylidae,Animal parasites,,4700.389,40735.171
,Triumphalisnema,Hystrignathidae,Animal parasites,,,
,Troglostrongylus,Crenosomatidae,Animal parasites,,,
,Trophomermis,Mermithidae,Animal parasites,,,
,Truttaedacnitis,Cucullanidae,Animal parasites,,,
,Trypanoxyuris,Oxyuridae,Animal parasites,,,
,Tsuganema,Thelastomatidae,Animal parasites,,,
,Tuhmai,Hystrignathidae,Animal parasites,,12.565,67.62
,Tupaiostrongylus,Molineidae,Animal parasites,,17.545,757.114
,Turgida,Physalopteridae,Animal parasites,,,
,Tutunema,Hethidae,Animal parasites,,,
,Typhlophorus,Heterocheilidae,Animal parasites,,215.938,246831.767
,Typhlopsia,Molineidae,Animal parasites,,,
,Umingmakstrongylus,Protosrongylidae,Animal parasites,,,
,Uncinaria,Ancylostomatidae,Animal parasites,,1062.925,1808.409
,Ungella,Ungellidae,Animal parasites,,6.169,13.088
,Unicorninema,Ungellidae,Animal parasites,,,
,Urbanonema,Hystrignathidae,Animal parasites,,37.993,67.62
,Urodelnema,Kathlaniidae,Animal parasites,,,
,Urucuia,Carnoyidae,Animal parasites,,,
,Varestrongylus,Protosrongylidae,Animal parasites,,,
,Vaucherus,Herpetostrongylidae,Animal parasites,,,
,Ventelia,Hystrignathidae,Animal parasites,,,
,Vexillata,Ornithostrongylidae,Animal parasites,,,
,Viannaia,Viannaiidae,Animal parasites,,25.089,25.089
,Viannella,Viannaiidae,Animal parasites,,,
,Viguiera,Habronematidae,Animal parasites,,67.632,3692.59
,Viverrostrongylus,Angiostrongylidae,Animal parasites,,,
,Vogeloides,Pneumospiruridae,Animal parasites,,,
,Vogtnema,Atractidae,Animal parasites,,,
,Vulcanonema,Hystrignathidae,Animal parasites,,,
,Wachekitylenchus,Parasitylenchidae,Animal parasites,,,
,Waerebekeia,Carnoyidae,Animal parasites,,,
,Wakubitinema,Quimperiidae,Animal parasites,,,
,Wallabicola,Chabertiidae,Animal parasites,,0,3726.289
,Wanaristrongylus,Amphibiophilidae,Animal parasites,,,
,Websternema,Molineidae,Animal parasites,,,
,Wellcomia,Oxyuridae,Animal parasites,,,
,Wetanema,Thelastomatidae,Animal parasites,,,
,Woodwardostrongylus,Chabertiidae,Animal parasites,,,
,Woolleya,Herpetostrongylidae,Animal parasites,,,
,Wuchereria,Onchocercidae,Animal parasites,,0,24238.879
,Wuia,Chabertiidae,Animal parasites,,,
,Wuinema,Quimperiidae,Animal parasites,,,
,Xericola,Heligmonellidae,Animal parasites,,,
,Xustronema,Rhigonematidae,Animal parasites,,,
,Xystrognathus,Ichthyocephalidae,Animal parasites,,0,159.257
,Xyo,Hystrignathidae,Animal parasites,,0,67.62
,Yagansiella,Ungellidae,Animal parasites,,16.118,13.088
,Yatinema,Heligmonellidae,Animal parasites,,0,360.479
,Zaglonema,Mackerrastrongylidae,Animal parasites,,,
,Zalophora,Rhigonematidae,Animal parasites,,,
,Zeylanema,Camallanidae,Animal parasites,,,
,Zoniolaimus,Chabertiidae,Animal parasites,,,
,Ablechroiulus,Rhabditidae,Bacterial feeders,1,4.145,5.766
丽突属,Acrobeles,Cephalobidae,Bacterial feeders,2,0.64,0.484
拟丽突属,Acrobeloides,Cephalobidae,Bacterial feeders,2,1.194,0.484
,Acrobelophis,Cephalobidae,Bacterial feeders,2,0.246,0.484
,Acrolobus,Cephalobidae,Bacterial feeders,2,0.136,0.484
,Acromoldavicus,Elaphonematidae,Bacterial feeders,2,0.559,0.291
,Acrostichus,Diplogastridae,Bacterial feeders,1,0.605,2.388
,Acroukranicus,Cephalobidae,Bacterial feeders,2,,
无咽属,Alaimus,Alaimidae,Bacterial feeders,4,0.561,0.561
,Alloionema,Alloionematidae,Bacterial feeders,1,7.083,3.592
高杯侧器属,Amphidelus,Amphidelidae,Bacterial feeders,4,1.306,0.623
,Amphidirhabditis,Rhabditidae,Bacterial feeders,,0.737,5.766
拟绕线属,Anaplectus,Plectidae,Bacterial feeders,2,1.497,0.736
拟鳗线属,Anguilluloides,Panagrolaimidae,Bacterial feeders,1,,
无齿属,Anonchus,Aphanolaimidae,Bacterial feeders,3,0.901,0.723
隐咽属,Aphanolaimus,Aphanolaimidae,Bacterial feeders,3,0.335,0.723
,Aphanonchus,Aphanolaimidae,Bacterial feeders,3,1.423,0.723
,Arctiplectus,Plectidae,Bacterial feeders,2,,
,Aspidonema,Bunonematidae,Bacterial feeders,1,0.13,0.111
,Auanema,Rhabditidae,Bacterial feeders,1,2.38,5.766
管咽属,Aulolaimus,Aulolaimidae,Bacterial feeders,3,0.227,0.284
,Baldwinema,Panagrolaimidae,Bacterial feeders,1,0.045,0.874
巴氏属,Bastiania,Bastianiidae,Bacterial feeders,3,0.174,0.19
,Baujardia,Panagrolaimidae,Bacterial feeders,1,6.926,0.874
,Bicirronema,Bicirronematidae,Bacterial feeders,2,0.598,0.328
短腔属,Brevibucca,Brevibuccidae,Bacterial feeders,1,,
,Brevistoma,Panagrolaimidae,Bacterial feeders,1,,
,Buetschlinema,Rhabditidae,Bacterial feeders,1,3.343,5.766
,Bunonema,Bunonematidae,Bacterial feeders,1,0.064,0.111
,Bursilla,Rhabditidae,Bacterial feeders,1,0.449,5.766
,Butlerius,Diplogastridae,Bacterial feeders,1,1.21,2.388
广杆属,Caenorhabditis,Rhabditidae,Bacterial feeders,3,2.093,5.766
,Caribplectus,Chronogastridae,Bacterial feeders,3,,
,Carinoscapter,Diploscapteridae,Bacterial feeders,1,,
,Caudpilla,Rhabditidae,Bacterial feeders,1,,
,Caviputa,Amphidelidae,Bacterial feeders,4,0.098,0.623
,Cephaloboides,Rhabditidae,Bacterial feeders,1,,
头叶属,Cephalobus,Cephalobidae,Bacterial feeders,2,0.266,0.484
角绕线属,Ceratoplectus,Plectidae,Bacterial feeders,2,0.462,0.736
鹿角唇属,Cervidellus,Cephalobidae,Bacterial feeders,2,0.174,0.484
张伯塞线虫属,Chambersiella,Chambersiellidae,Bacterial feeders,2,,
,Chiloplacoides,Cephalobidae,Bacterial feeders,2,0.733,0.484
板唇属,Chiloplacus,Cephalobidae,Bacterial feeders,2,0.534,0.484
唇绕线属,Chiloplectus,Plectidae,Bacterial feeders,2,0.602,0.736
,Choriorhabditis,Rhabditidae,Bacterial feeders,1,,
,Chromadorina,Chromadoridae,Bacterial feeders,3,0.396,2.057
,Chromadorissa,Chromadoridae,Bacterial feeders,3,,
色矛属,Chromadorita,Hypodontolaimidae/Chromadoridae,Bacterial feeders,3,1.28,1.189
连胃属,Chronogaster,Chronogastridae,Bacterial feeders,3,0.491,0.491
,Chylorhabditis,Rhabditidae,Bacterial feeders,1,3.58,5.766
,Coarctadera,Rhabditidae,Bacterial feeders,1,6.619,5.766
,Cornilaimus,Chambersiellidae,Bacterial feeders,2,1.206,0.854
,Craspedonema,Bunonematidae,Bacterial feeders,1,0.254,0.111
,Cribronema,Cephalobidae,Bacterial feeders,2,0.039,0.484
,Cristamphidelus,Amphidelidae,Bacterial feeders,4,,
,Crustorhabditis,Rhabditidae,Bacterial feeders,1,14.915,5.766
,Cruznema,Rhabditidae,Bacterial feeders,1,3.71,5.766
,Curviditis,Rhabditidae,Bacterial feeders,1,3.788,5.766
,Cuticonema,Brevibuccidae,Bacterial feeders,1,,
,Cuticularia,Rhabditidae,Bacterial feeders,1,1.172,5.766
柱咽属,Cylindrolaimus,Diplopeltidae,Bacterial feeders,3,0.454,1.786
,Cynura,Chronogastridae,Bacterial feeders,3,,
,Deficephalobus,Osstellidae,Bacterial feeders,2,0.295,0.216
,Deleyia,Myolaimidae,Bacterial feeders,2,0.186,0.467
,Demaniella,Diplogastridae,Bacterial feeders,1,0.973,2.388
索咽属,Desmolaimus,Linhomoeidae,Bacterial feeders,3,1.491,8.979
,Diastolaimus,Chambersiellidae,Bacterial feeders,2,0.919,0.854
,Dintheria,Bastianiidae,Bacterial feeders,3,0.271,0.19
,Diplenteron,Neodiplogastridae,Bacterial feeders,1,4.427,4.39
双胃属,Diplogaster,Diplogastridae,Bacterial feeders,1,1.886,2.388
异双胃属,Diplogasteriana,Diplogastridae,Bacterial feeders,1,1.604,2.388
,Diplogasteritus,Diplogastridae,Bacterial feeders,1,0.631,2.388
类双胃属,Diplogasteroides,Diplogasteroididae,Bacterial feeders,1,0.802,0.774
小双胃属,Diplogastrellus,Diplogastridae,Bacterial feeders,1,0.507,2.388
钩唇属,Diploscapter,Diploscapteridae,Bacterial feeders,1,0.257,0.257
,Diploscapteroides,Rhabditidae,Bacterial feeders,1,2.155,5.766
,Distolabrellus,Rhabditidae,Bacterial feeders,1,3.226,5.766
,Distorhabditis,Rhabditidae,Bacterial feeders,1,,
,Dolichorhabditis,Rhabditidae,Bacterial feeders,1,1.603,5.766
圆顶属,Domorganus,Ohridiidae,Bacterial feeders,3,1.256,1.256
,Drilocephalobus,Osstellidae,Bacterial feeders,2,0.1,0.216
,Elaphonema,Elaphonematidae,Bacterial feeders,2,0.241,0.291
艾瑞属,Ereptonema,Plectidae,Bacterial feeders,2,0.068,0.736
,Etamphidelus,Amphidelidae,Bacterial feeders,4,,
真头叶属,Eucephalobus,Cephalobidae,Bacterial feeders,2,0.236,0.484
,Eudiplogasterium,Diplogastridae,Bacterial feeders,1,3.606,2.388
真单宫属,Eumonhystera,Monhysteridae,Bacterial feeders,1,0.205,0.691
真畸头属,Euteratocephalus,Teratocephalidae,Bacterial feeders,3,0.263,0.142
,Fescia,Chambersiellidae,Bacterial feeders,2,,
,Fictor,Neodiplogastridae,Bacterial feeders,1,0.948,4.39
,Fuchsnema,Diplogasteroididae,Bacterial feeders,1,0.917,0.774
,Geohaliplectus,Haliplectidae,Bacterial feeders,2,,
地单宫属,Geomonhystera,Monhysteridae,Bacterial feeders,1,0.283,0.691
,Geraldius,Chambersiellidae,Bacterial feeders,2,1.699,0.854
,Goffartia,Diplogasteroididae,Bacterial feeders,1,0.354,0.774
,Haematozoon,Rhabditidae,Bacterial feeders,1,4.818,5.766
哈利头叶属,Halicephalobus,Panagrolaimidae,Bacterial feeders,1,0.053,0.874
,Halirhabdolaimus,Haliplectidae,Bacterial feeders,2,,
,Hemiplectus,Plectidae,Bacterial feeders,2,2.484,0.736
,Heterocephalobellus,Cephalobidae,Bacterial feeders,2,0.345,0.484
,Heterocephalobus,Cephalobidae,Bacterial feeders,2,0.356,0.484
,Heterorhabditis,Heterorhabditidae,Bacterial feeders,1,70.179,70.179
,Isolaimium,Isolaimiidae,Bacterial feeders,5,22.232,22.232
,Keralonema,Chronogastridae,Bacterial feeders,3,,
,Kirjanovia,Elaphonematidae,Bacterial feeders,2,0.134,0.291
,Kischkenema,Chronogastridae,Bacterial feeders,3,,
,Laxamphidelus,Amphidelidae,Bacterial feeders,4,,
,Leptolaimus,Leptolaimidae,Bacterial feeders,3,0.382,0.755
,Levipalatum,Diplogastridae,Bacterial feeders,1,4.529,2.388
,Macrolaimellus,Cephalobidae,Bacterial feeders,2,0.121,0.484
,Macrolaimus,Chambersiellidae,Bacterial feeders,2,0.574,0.854
,Manunema,Leptolaimidae,Bacterial feeders,3,,
,Matthesonema,Rhabditidae,Bacterial feeders,1,0.854,5.766
,Mediolaimus,Rhabdolaimidae,Bacterial feeders,3,0.067,0.094
,Megamphidelus,Amphidelidae,Bacterial feeders,4,,
中杆属,Mesorhabditis,Rhabditidae,Bacterial feeders,1,0.568,5.766
,Metacrobeles,Cephalobidae,Bacterial feeders,2,4.781,0.484
,Metacrolobus,Cephalobidae,Bacterial feeders,2,,
后双胃属,Metadiplogaster,Diplogastridae,Bacterial feeders,1,1.33,2.388
,Metamphidelus,Amphidelidae,Bacterial feeders,4,0.505,0.623
,Metarhabditis,Rhabditidae,Bacterial feeders,1,1.304,5.766
,Metateratocephalus,Teratocephalidae,Bacterial feeders,3,0.073,0.142
嗜腐属,Micoletzkya,Neodiplogastridae,Bacterial feeders,1,34.439,4.39
微咽属,Microlaimus,Microlaimidae,Bacterial feeders,3,0.41,0.566
单宫属,Monhystera,Monhysteridae,Bacterial feeders,1,0.918,0.691
小单宫属,Monhystrella,Monhysteridae,Bacterial feeders,1,0.076,0.691
,Monobutlerius,Diplogastridae,Bacterial feeders,1,,
,Myolaimus,Myolaimidae,Bacterial feeders,2,0.56,0.467
,Neoalloionema,Alloionematidae,Bacterial feeders,1,1.297,3.592
,Neocephalobus,Panagrolaimidae,Bacterial feeders,1,0.245,0.874
,Neochromadora,Hypodontolaimidae,Bacterial feeders,3,0.47,1.189
,Neodiplogaster,Neodiplogastridae,Bacterial feeders,1,1.018,4.39
,Neorhabditis,Rhabditidae,Bacterial feeders,1,,
,Neosteinernema,Steinernematidae,Bacterial feeders,2,,
,Neotylocephalus,Plectidae,Bacterial feeders,2,0.04,0.736
,Nothacrobeles,Cephalobidae,Bacterial feeders,2,0.363,0.484
,Odontolaimus,Odontolaimidae,Bacterial feeders,3,0.16,0.16
,Operculorhabditis,Rhabditidae,Bacterial feeders,1,1.4,5.766
,Oscheius,Rhabditidae,Bacterial feeders,1,6.596,5.766
,Osstella,Osstellidae,Bacterial feeders,2,0.21,0.216
,Pakira,Plectidae,Bacterial feeders,2,,
浅腔属,Panagrellus,Panagrolaimidae,Bacterial feeders,1,2.262,0.874
,Panagrobelium,Panagrolaimidae,Bacterial feeders,1,,
瓣唇属,Panagrobelus,Panagrolaimidae,Bacterial feeders,1,0.529,0.874
盆咽属,Panagrolaimus,Panagrolaimidae,Bacterial feeders,1,0.656,0.874
,Panagrolobus,Cephalobidae,Bacterial feeders,2,0.07,0.484
,Panagroteratus,Cephalobidae,Bacterial feeders,2,,
,Paracephalobus,Cephalobidae,Bacterial feeders,2,0.595,0.484
,Paracrobeles,Cephalobidae,Bacterial feeders,2,0.494,0.484
,Paramphidelus,Amphidelidae,Bacterial feeders,4,0.198,0.623
类隐咽属,Paraphanolaimus,Aphanolaimidae,Bacterial feeders,3,0.715,0.723
,Parapristionchus,Diplogastridae,Bacterial feeders,1,,
,Parasitorhabditis,Rhabditidae,Bacterial feeders,1,1.242,5.766
,Paroigolaimella,Diplogastridae,Bacterial feeders,1,1.204,2.388
,Pellioditis,Rhabditidae,Bacterial feeders,1,8.208,5.766
三等齿属,Pelodera,Rhabditidae,Bacterial feeders,1,8.5,5.766
木盾移属,Peltamigratus,Hoplolaimidae,Bacterial feeders,1,0.407,0.593
,Penjatinema,Cephalobidae,Bacterial feeders,2,0.931,0.484
,Perioplectus,Plectidae,Bacterial feeders,2,,
,Phasmarhabditis,Rhabditidae,Bacterial feeders,1,15.222,5.766
板环属,Placodira,Cephalobidae,Bacterial feeders,2,0.788,0.484
扭钩属,Plectonchus,Brevibuccidae,Bacterial feeders,1,0.56,0.622
绕线属,Plectus,Plectidae,Bacterial feeders,2,0.887,0.736
异咽属,Poikilolaimus,Rhabditidae,Bacterial feeders,1,0.348,5.766
,Postamphidelus,Amphidelidae,Bacterial feeders,4,,
棱咽属,Prismatolaimus,Prismatolaimidae,Bacterial feeders,3,0.357,0.357
,Procephalobus,Panagrolaimidae,Bacterial feeders,1,0.552,0.874
,Prodontorhabditis,Rhabditidae,Bacterial feeders,1,,
,Propanagrolaimus,Panagrolaimidae,Bacterial feeders,1,0.569,0.874
,Protopoikilolaimus,Rhabditidae,Bacterial feeders,1,,
原杆属,Protorhabditis,Rhabditidae,Bacterial feeders,1,0.264,5.766
,Pseudacrobeles,Cephalobidae,Bacterial feeders,2,0.217,0.484
,Pseudoaulolaimus,Aulolaimidae,Bacterial feeders,3,0.795,0.284
,Pterygorhabditis,Pterygorhabditidae,Bacterial feeders,1,0.391,0.391
,Pterygorhitis,Pterygorhabditidae,Bacterial feeders,1,,
,Rhabditella,Rhabditidae,Bacterial feeders,1,3.879,5.766
,Rhabditidoides,Diplogastridae,Bacterial feeders,1,0.402,2.388
小杆属,Rhabditis,Rhabditidae,Bacterial feeders,1,19.62,5.766
,Rhabditoides,Rhabditidae,Bacterial feeders,1,7.183,5.766
伪杆咽属,Rhabditolaimus,Diplogastridae,Bacterial feeders,1,1.424,2.388
,Rhabditonema,Rhabditidae,Bacterial feeders,1,,
明杆属,Rhabditophanes,Alloionematidae,Bacterial feeders,1,1.91,3.592
杆咽属,Rhabdolaimus,Rhabdolaimidae,Bacterial feeders,3,0.107,0.094
,Rhabpanus,Rhabditidae,Bacterial feeders,1,1.215,5.766
,Rhodolaimus,Bunonematidae,Bacterial feeders,1,0.142,0.111
,Rhomborhabditis,Rhabditidae,Bacterial feeders,1,5.608,5.766
,Rogerus,Rhabdolaimidae,Bacterial feeders,,,
,Rugoster,Chronogastridae,Bacterial feeders,3,,
,Santafea,Chambersiellidae,Bacterial feeders,2,,
,Saprorhabditis,Rhabditidae,Bacterial feeders,1,0.56,5.766
,Scleralaimus,Amphidelidae,Bacterial feeders,4,,
,Scleramphidelus,Amphidelidae,Bacterial feeders,4,0.649,0.623
,Sclerorhabditis,Rhabditidae,Bacterial feeders,1,,
,Scottnema,Cephalobidae,Bacterial feeders,2,0.44,0.484
,Seleborca,Cephalobidae,Bacterial feeders,2,0.403,0.484
,Spinocephalus,Cephalobidae,Bacterial feeders,2,0.322,0.484
,Stegelleta,Cephalobidae,Bacterial feeders,2,0.172,0.484
,Stegelletina,Cephalobidae,Bacterial feeders,2,0.073,0.484
,Stegorhabditis,Rhabditidae,Bacterial feeders,1,0.444,5.766
,Steinernema,Steinernematidae,Bacterial feeders,2,164.011,164.011
异畸头属,Steratocephalus,Teratocephalidae,Bacterial feeders,3,,
,Stomachorhabditis,Rhabditidae,Bacterial feeders,1,0.469,5.766
,Sudhausia,Diplogastridae,Bacterial feeders,1,1.879,2.388
,Tarantobelus,Brevibuccidae,Bacterial feeders,1,1.234,0.622
畸头属,Teratocephalus,Teratocephalidae,Bacterial feeders,3,0.084,0.142
,Teratodiplogaster,Diplogastridae,Bacterial feeders,1,1.833,2.388
,Teratolobus,Cephalobidae,Bacterial feeders,2,0.137,0.484
,Teratorhabditis,Rhabditidae,Bacterial feeders,1,2.23,5.766
,Tokorhabditis,Rhabditidae,Bacterial feeders,1,2.385,5.766
,Tricephalobus,Panagrolaimidae,Bacterial feeders,1,0.395,0.874
,Tricirronema,Bicirronematidae,Bacterial feeders,2,0.3,0.328
,Trualaimus,Bicirronematidae,Bacterial feeders,2,0.257,0.328
,Turbatrix,Panagrolaimidae,Bacterial feeders,1,1.438,0.874
角头属,Tylocephalus,Plectidae,Bacterial feeders,2,0.212,0.736
,Udonchus,Rhabdolaimidae,Bacterial feeders,3,0.071,0.094
威尔斯属,Wilsonema,Plectidae,Bacterial feeders,2,0,0.736
,Xylorhabditis,Rhabditidae,Bacterial feeders,1,0,5.766
,Yeatesinia,Plectidae,Bacterial feeders,2,0,0.736
,Ypsilonellus,Cephalobidae,Bacterial feeders,2,,
,Zeldia,Cephalobidae,Bacterial feeders,2,0,0.484
,Alirhabditis,Alirhabditidae,Bacterial feeders,1,0.055,0.055
,Parasitodiplogaster,Diplogastridae,Bacterial feeders,1,4.344,2.388
,Paraethmolaimus,Ethmolaimidae,Brackish/Marine nematodes,,,
异色矛属,Achromadora,Achromadoridae,Eucaryote feeders,3,0.313,0.313
,Glauxinema,Neodiplogastridae,Eucaryote feeders,1,1.344,4.39
,Koerneria,Neodiplogastridae,Eucaryote feeders,1,0.074,4.39
,Mononchoides,Neodiplogastridae,Eucaryote feeders,1,1.211,4.39
,Oigolaimella,Neodiplogastridae,Eucaryote feeders,1,0.442,4.39
,Pareudiplogaster,Neodiplogastridae,Eucaryote feeders,1,0.735,4.39
,Eophasma,Eophasmidae,Fossil nematodes,,,
,Ethmolaimus,Ethmolaimidae,Freshwater nematodes,,0.591,0.591
,Sacrimarinema,Xyalidae,Freshwater nematodes,,3.004,2.363
,Acephalodorylaimus,Encholaimidae,Fungus feeders,4,0.126,0.314
,Aculonchus,Leptonchidae,Fungus feeders,4,0.204,0.78
,Aenigmenchus,Tylopharyngidae,Fungus feeders,2,,
,Agmodorus,Leptonchidae,Fungus feeders,4,,
,Albiziaphelenchus,Aphelenchoididae,Fungus feeders,2,,
,Anguillonema,Neotylenchidae,Fungus feeders,2,0.3,0.85
,Anomyctus,Aphelenchoididae,Fungus feeders,2,0.317,0.207
滑刃属,Aphelenchoides,Aphelenchoididae,Fungus feeders,2,0.15,0.207
真滑刃属,Aphelenchus,Aphelenchidae,Fungus feeders,2,0.218,0.299
,Apoleptonchus,Leptonchidae,Fungus feeders,4,,
,Aprutides,Aphelenchoididae,Fungus feeders,2,0.058,0.207
,Arganema,Leptonchidae,Fungus feeders,4,0.239,0.78
,Athernema,Mydonomidae,Fungus feeders,4,,
,Basilaphelenchus,Aphelenchoididae,Fungus feeders,2,0.055,0.207
,Basirotyleptus,Leptonchidae,Fungus feeders,4,0.186,0.78
,Bealius,Paurodontidae,Fungus feeders,,,
,Bertzuckermania,Leptonchidae,Fungus feeders,4,,
,Capilonchus,Tylencholaimidae,Fungus feeders,4,,
,Caveonchus,Leptonchidae,Fungus feeders,4,0.509,0.78
,Cephalodorylaimus,Encholaimidae,Fungus feeders,4,0.489,0.314
,Chitwoodielloides,Tylencholaimidae,Fungus feeders,4,,
,Chitwoodiellus,Tylencholaimidae,Fungus feeders,4,0.929,1.318
,Chitwoodius,Tylencholaimidae,Fungus feeders,4,3.538,1.318
,Clavigula,Leptonchidae,Fungus feeders,4,,
,Coronatylencholaimellus,Tylencholaimellidae,Fungus feeders,,,
,Coronatyleptus,Leptonchidae,Fungus feeders,4,,
,Cricodorylaimus,Tylencholaimidae,Fungus feeders,4,0.535,1.318
,Cryptaphelenchoides,Aphelenchoididae,Fungus feeders,2,,
,Cryptaphelenchus,Aphelenchoididae,Fungus feeders,2,0.049,0.207
,Curvidorylaimus,Tylencholaimidae,Fungus feeders,4,6.404,1.318
,Deladenus,Neotylenchidae,Fungus feeders,2,0.871,0.85
,Delatylus,Neotylenchidae,Fungus feeders,2,0.314,0.85
膜皮属,Diphtherophora,Diphtherophoridae,Fungus feeders,3,0.504,0.627
盘腔属,Discomyctus,Tylencholaimidae,Fungus feeders,4,0.262,1.318
,Ditylenchoides,Anguinidae,Fungus feeders,2,0.528,6.368
,Dorella,Tylencholaimellidae,Fungus feeders,4,,
短矛属,Doryllium,Tylencholaimellidae,Fungus feeders,4,0.236,0.584
,Dotylaphus,Neotylenchidae,Fungus feeders,2,0.182,0.85
,Echinodorus,Encholaimidae,Fungus feeders,4,0.503,0.314
,Encholaimus,Encholaimidae,Fungus feeders,4,0.14,0.314
,Filenchus,Tylenchidae,Fungus feeders,2,0.099,0.158
,Funaria,Leptonchidae,Fungus feeders,4,1.898,0.78
,Fungiotonchium,Iotonchiidae,Fungus feeders,4,2.902,3.645
,Gerthus,Tylencholaimellidae,Fungus feeders,4,,
,Glochidorella,Leptonchidae,Fungus feeders,4,,
,Goferus,Tylencholaimellidae,Fungus feeders,4,,
,Gymnotylenchus,Neotylenchidae,Fungus feeders,,,
,Gymnotyleptus,Leptonchidae,Fungus feeders,4,,
,Hadrodenus,Neotylenchidae,Fungus feeders,2,0.149,0.85
,Helmabia,Encholaimidae,Fungus feeders,4,,
,Hexatylus,Neotylenchidae,Fungus feeders,2,1.251,0.85
,Heynsnema,Tylencholaimidae,Fungus feeders,4,,
,Huntaphelenchoides,Aphelenchoididae,Fungus feeders,2,0.226,0.207
,Incanema,Leptonchidae,Fungus feeders,4,1.524,0.78
,Iotonchium,Iotonchiidae,Fungus feeders,4,4.017,3.645
,Kantbhalla,Leptonchidae,Fungus feeders,4,,
,Lawtonema,Tylencholaimidae,Fungus feeders,4,,
细齿属,Leptonchus,Leptonchidae,Fungus feeders,4,0.98,0.78
,Loncharionema,Leptonchidae,Fungus feeders,4,0.482,0.78
,Longibulbophora,Diphtherophoridae,Fungus feeders,3,,
,Margollus,Tylencholaimellidae,Fungus feeders,4,,
,Metadorylaimus,Tylencholaimidae,Fungus feeders,4,,
,Meylis,Leptonchidae,Fungus feeders,4,2.4,0.78
,Meylonema,Tylencholaimidae,Fungus feeders,4,0.161,1.318
,Mumtazium,Tylencholaimidae,Fungus feeders,4,,
,Nemabia,Encholaimidae,Fungus feeders,4,,
,Neometadorylaimus,Tylencholaimidae,Fungus feeders,4,7.253,1.318
伪垫刃属,Nothotylenchus,Anguinidae,Fungus feeders,2,0.225,6.368
,Oostenbrinkella,Tylencholaimellidae,Fungus feeders,4,,
,Opisthotyleptus,Leptonchidae,Fungus feeders,4,,
,Oxydiroides,Tylencholaimidae,Fungus feeders,4,,
,Pachydorylaimus,Tylencholaimidae,Fungus feeders,4,0.988,1.318
,Paraleptonchus,Leptonchidae,Fungus feeders,4,,
,Paraphelenchus,Aphelenchidae,Fungus feeders,2,0.336,0.299
,Paratylencholaimus,Tylencholaimellidae,Fungus feeders,4,0.191,0.584
,Phellonema,Tylencholaimellidae,Fungus feeders,4,,
,Proleptonchoides,Leptonchidae,Fungus feeders,4,,
原细齿属,Proleptonchus,Leptonchidae,Fungus feeders,4,1.279,0.78
,Promumtazium,Tylencholaimidae,Fungus feeders,4,,
,Pseudaphelenchus,Aphelenchoididae,Fungus feeders,2,0.051,0.207
,Pseudotylencholaimus,Tylencholaimidae,Fungus feeders,4,,
,Ptychaphelenchus,Aphelenchoididae,Fungus feeders,2,0.092,0.207
,Punchaulus,Aphelenchoididae,Fungus feeders,2,,
,Punctoleptus,Leptonchidae,Fungus feeders,4,,
,Robustodorus,Aphelenchoididae,Fungus feeders,2,0.133,0.207
,Rostrulium,Tylencholaimidae,Fungus feeders,4,,
,Rubzovinema,Neotylenchidae,Fungus feeders,2,,
,Ruehmaphelenchus,Aphelenchoididae,Fungus feeders,2,0.408,0.207
,Scalpenchus,Leptonchidae,Fungus feeders,4,,
,Sclerolaimus,Leptonchidae,Fungus feeders,4,,
,Sclerostylus,Leptonchidae,Fungus feeders,4,0.32,0.78
,Sheraphelenchus,Aphelenchoididae,Fungus feeders,2,0.328,0.207
异球属,Stictylus,Neotylenchidae,Fungus feeders,2,0.591,0.85
,Tantunema,Tylencholaimidae,Fungus feeders,4,,
,Trichonchium,Leptonchidae,Fungus feeders,4,,
,Tylaphelenchus,Aphelenchoididae,Fungus feeders,2,0.092,0.207
,Tylenchodoroides,Tylencholaimidae,Fungus feeders,4,0.083,1.318
,Tylenchodorus,Tylencholaimidae,Fungus feeders,4,,
瘤咽属,Tylencholaimellus,Tylencholaimellidae,Fungus feeders,4,0.709,0.584
垫咽属,Tylencholaimus,Tylencholaimidae,Fungus feeders,4,0.397,1.318
,Tyleptus,Leptonchidae,Fungus feeders,4,0.469,0.78
巨宫属,Tylolaimophorus,Diphtherophoridae,Fungus feeders,3,0.872,0.627
,Tylopharynx,Tylopharyngidae,Fungus feeders,2,0.627,0.627
,Utahnema,Leptonchidae,Fungus feeders,4,0.357,0.78
,Vanderlindia,Tylencholaimidae,Fungus feeders,4,,
,Wasimellus,Tylencholaimidae,Fungus feeders,4,,
